"month","value"
"2014-01","138.618641"
"2014-02","138.395841"
"2014-03","138.952841"
"2014-04","136.761975"
"2014-05","139.28704"
"2014-06","140.995173"
"2014-07","142.610472"
"2014-08","145.525436"
"2014-09","146.119569"
"2014-10","145.896769"
"2014-11","146.119569"
"2014-12","146.453769"
"2015-01","146.286669"
"2015-02","146.156703"
"2015-03","147.716302"
"2015-04","146.453769"
"2015-05","148.848867"
"2015-06","150.909766"
"2015-07","152.042332"
"2015-08","154.028964"
"2015-09","154.845897"
"2015-10","155.699963"
"2015-11","156.813962"
"2015-12","158.187895"
"2016-01","157.668028"
"2016-02","156.516896"
"2016-03","157.259562"
"2016-04","154.177497"
"2016-05","156.294096"
"2016-06","159.673227"
"2016-07","161.752692"
"2016-08","163.665058"
"2016-09","164.64909"
"2016-10","165.763089"
"2016-11","167.285555"
"2016-12","168.232455"
"2017-01","168.678054"
"2017-02","170.664686"
"2017-03","173.412551"
"2017-04","171.871519"
"2017-05","174.58225"
"2017-06","174.378017"
"2017-07","173.839584"
"2017-08","176.828815"
"2017-09","176.271816"
"2017-10","175.25065"
"2017-11","175.19495"
"2017-12","175.807649"
"2018-01","176.828815"
"2018-02","178.277014"
"2018-03","180.672113"
"2018-04","178.277014"
"2018-05","181.470479"
"2018-06","181.841812"
"2018-07","181.396212"
"2018-08","183.976977"
"2018-09","186.334942"
"2018-10","184.942443"
"2018-11","184.979577"
"2018-12","185.833643"
"2019-01","185.146677"
"2019-02","185.666543"
"2019-03","188.525808"
"2019-04","190.01114"
"2019-05","191.440772"
"2019-06","192.202005"
"2019-07","192.777571"
"2019-08","193.167471"
"2019-09","193.464538"
"2019-10","194.095804"
"2019-11","195.265503"
"2019-12","196.658002"
"2020-01","197.753435"
"2020-02","198.978834"
"2020-03","199.535834"
"2020-04","201.429632"
"2020-05","201.633866"
"2020-06","201.021166"
"2020-07","201.169699"
"2020-08","201.578166"
"2020-09","201.578166"
"2020-10","203.490531"
"2020-11","205.681396"
"2020-12","207.705162"
"2021-01","209.023394"
"2021-02","210.471593"
"2021-03","211.307092"
"2021-04","213.052358"
"2021-05","213.479391"
"2021-06","213.720758"
